	date	location	variant	sequences
55	2021-11-23	Denmark	Delta	2129
56	2021-11-24	Denmark	Delta	1747
57	2021-11-25	Denmark	Delta	1743
58	2021-11-26	Denmark	Delta	1619
59	2021-11-27	Denmark	Delta	1458
60	2021-11-28	Denmark	Delta	1518
61	2021-11-29	Denmark	Delta	1828
62	2021-11-30	Denmark	Delta	1633
63	2021-12-01	Denmark	Delta	2306
64	2021-12-02	Denmark	Delta	2692
65	2021-12-03	Denmark	Delta	2401
66	2021-12-04	Denmark	Delta	2930
67	2021-12-05	Denmark	Delta	3451
68	2021-12-06	Denmark	Delta	4249
69	2021-12-07	Denmark	Delta	1772
70	2021-12-08	Denmark	Delta	1486
71	2021-12-09	Denmark	Delta	1016
72	2021-12-10	Denmark	Delta	1446
73	2021-12-11	Denmark	Delta	971
74	2021-12-12	Denmark	Delta	910
75	2021-12-13	Denmark	Delta	965
76	2021-12-14	Denmark	Delta	518
77	2021-12-15	Denmark	Delta	568
78	2021-12-16	Denmark	Delta	546
79	2021-12-17	Denmark	Delta	208
80	2021-12-18	Denmark	Delta	379
81	2021-12-19	Denmark	Delta	463
82	2021-12-20	Denmark	Delta	374
83	2021-12-21	Denmark	Delta	245
84	2021-12-22	Denmark	Delta	151
85	2021-12-23	Denmark	Delta	174
86	2021-12-24	Denmark	Delta	79
87	2021-12-25	Denmark	Delta	67
88	2021-12-26	Denmark	Delta	95
89	2021-12-27	Denmark	Delta	225
90	2021-12-28	Denmark	Delta	152
91	2021-12-29	Denmark	Delta	45
92	2021-12-30	Denmark	Delta	80
93	2021-12-31	Denmark	Delta	30
94	2022-01-01	Denmark	Delta	27
95	2022-01-02	Denmark	Delta	259
96	2022-01-03	Denmark	Delta	112
97	2022-01-04	Denmark	Delta	15
98	2022-01-05	Denmark	Delta	54
99	2022-01-06	Denmark	Delta	29
100	2022-01-07	Denmark	Delta	54
101	2022-01-08	Denmark	Delta	14
102	2022-01-09	Denmark	Delta	13
103	2022-01-10	Denmark	Delta	22
104	2022-01-11	Denmark	Delta	11
105	2022-01-12	Denmark	Delta	2
106	2022-01-13	Denmark	Delta	1
107	2021-11-22	Denmark	Omicron 21K	1
108	2021-11-23	Denmark	Omicron 21K	1
109	2021-11-25	Denmark	Omicron 21K	1
110	2021-11-26	Denmark	Omicron 21K	2
111	2021-11-28	Denmark	Omicron 21K	5
112	2021-11-29	Denmark	Omicron 21K	3
113	2021-11-30	Denmark	Omicron 21K	4
114	2021-12-01	Denmark	Omicron 21K	32
115	2021-12-02	Denmark	Omicron 21K	41
116	2021-12-03	Denmark	Omicron 21K	33
117	2021-12-04	Denmark	Omicron 21K	61
118	2021-12-05	Denmark	Omicron 21K	103
119	2021-12-06	Denmark	Omicron 21K	204
120	2021-12-07	Denmark	Omicron 21K	155
121	2021-12-08	Denmark	Omicron 21K	169
122	2021-12-09	Denmark	Omicron 21K	159
123	2021-12-10	Denmark	Omicron 21K	190
124	2021-12-11	Denmark	Omicron 21K	192
125	2021-12-12	Denmark	Omicron 21K	234
126	2021-12-13	Denmark	Omicron 21K	374
127	2021-12-14	Denmark	Omicron 21K	369
128	2021-12-15	Denmark	Omicron 21K	483
129	2021-12-16	Denmark	Omicron 21K	410
130	2021-12-17	Denmark	Omicron 21K	205
131	2021-12-18	Denmark	Omicron 21K	527
132	2021-12-19	Denmark	Omicron 21K	696
133	2021-12-20	Denmark	Omicron 21K	662
134	2021-12-21	Denmark	Omicron 21K	552
135	2021-12-22	Denmark	Omicron 21K	467
136	2021-12-23	Denmark	Omicron 21K	490
137	2021-12-24	Denmark	Omicron 21K	156
138	2021-12-25	Denmark	Omicron 21K	179
139	2021-12-26	Denmark	Omicron 21K	467
140	2021-12-27	Denmark	Omicron 21K	1319
141	2021-12-28	Denmark	Omicron 21K	980
142	2021-12-29	Denmark	Omicron 21K	320
143	2021-12-30	Denmark	Omicron 21K	655
144	2021-12-31	Denmark	Omicron 21K	290
145	2022-01-01	Denmark	Omicron 21K	281
146	2022-01-02	Denmark	Omicron 21K	3499
147	2022-01-03	Denmark	Omicron 21K	1518
148	2022-01-04	Denmark	Omicron 21K	204
149	2022-01-05	Denmark	Omicron 21K	1034
150	2022-01-06	Denmark	Omicron 21K	544
151	2022-01-07	Denmark	Omicron 21K	1461
152	2022-01-08	Denmark	Omicron 21K	445
153	2022-01-09	Denmark	Omicron 21K	233
154	2022-01-10	Denmark	Omicron 21K	657
155	2022-01-11	Denmark	Omicron 21K	653
156	2022-01-12	Denmark	Omicron 21K	223
157	2022-01-13	Denmark	Omicron 21K	100
158	2021-12-05	Denmark	Omicron 21L	1
159	2021-12-10	Denmark	Omicron 21L	2
160	2021-12-12	Denmark	Omicron 21L	2
161	2021-12-13	Denmark	Omicron 21L	11
162	2021-12-14	Denmark	Omicron 21L	13
163	2021-12-15	Denmark	Omicron 21L	12
164	2021-12-16	Denmark	Omicron 21L	17
165	2021-12-17	Denmark	Omicron 21L	17
166	2021-12-18	Denmark	Omicron 21L	33
167	2021-12-19	Denmark	Omicron 21L	48
168	2021-12-20	Denmark	Omicron 21L	72
169	2021-12-21	Denmark	Omicron 21L	67
170	2021-12-22	Denmark	Omicron 21L	55
171	2021-12-23	Denmark	Omicron 21L	67
172	2021-12-24	Denmark	Omicron 21L	25
173	2021-12-25	Denmark	Omicron 21L	38
174	2021-12-26	Denmark	Omicron 21L	86
175	2021-12-27	Denmark	Omicron 21L	315
176	2021-12-28	Denmark	Omicron 21L	214
177	2021-12-29	Denmark	Omicron 21L	89
178	2021-12-30	Denmark	Omicron 21L	143
179	2021-12-31	Denmark	Omicron 21L	79
180	2022-01-01	Denmark	Omicron 21L	99
181	2022-01-02	Denmark	Omicron 21L	1072
182	2022-01-03	Denmark	Omicron 21L	512
183	2022-01-04	Denmark	Omicron 21L	76
184	2022-01-05	Denmark	Omicron 21L	375
185	2022-01-06	Denmark	Omicron 21L	253
186	2022-01-07	Denmark	Omicron 21L	793
187	2022-01-08	Denmark	Omicron 21L	241
188	2022-01-09	Denmark	Omicron 21L	167
189	2022-01-10	Denmark	Omicron 21L	515
190	2022-01-11	Denmark	Omicron 21L	585
191	2022-01-12	Denmark	Omicron 21L	251
192	2022-01-13	Denmark	Omicron 21L	76
193	2021-10-16	India	other	2
194	2021-10-17	India	other	3
195	2021-10-18	India	other	1
196	2021-10-19	India	other	1
197	2021-10-20	India	other	1
198	2021-10-21	India	other	1
199	2021-10-22	India	other	1
200	2021-10-23	India	other	5
201	2021-10-24	India	other	2
202	2021-10-25	India	other	3
203	2021-10-26	India	other	10
204	2021-10-27	India	other	4
205	2021-10-28	India	other	2
206	2021-10-29	India	other	8
207	2021-10-30	India	other	8
208	2021-10-31	India	other	1
209	2021-11-01	India	other	7
210	2021-11-02	India	other	7
211	2021-11-03	India	other	4
212	2021-11-04	India	other	3
213	2021-11-05	India	other	10
214	2021-11-06	India	other	12
215	2021-11-07	India	other	4
216	2021-11-08	India	other	14
217	2021-11-09	India	other	9
218	2021-11-10	India	other	21
219	2021-11-11	India	other	6
220	2021-11-12	India	other	3
221	2021-11-13	India	other	12
222	2021-11-14	India	other	5
223	2021-11-15	India	other	3
224	2021-11-16	India	other	2
225	2021-11-17	India	other	1
226	2021-11-18	India	other	20
227	2021-11-19	India	other	3
228	2021-11-20	India	other	8
229	2021-11-21	India	other	3
230	2021-11-22	India	other	15
231	2021-11-23	India	other	5
232	2021-11-24	India	other	3
233	2021-11-25	India	other	3
234	2021-11-26	India	other	5
235	2021-11-27	India	other	9
236	2021-11-28	India	other	6
237	2021-11-29	India	other	5
238	2021-11-30	India	other	13
239	2021-12-01	India	other	10
240	2021-12-02	India	other	9
241	2021-12-03	India	other	7
242	2021-12-04	India	other	20
243	2021-12-05	India	other	6
244	2021-12-06	India	other	14
245	2021-12-07	India	other	18
246	2021-12-08	India	other	9
247	2021-12-09	India	other	35
248	2021-12-10	India	other	7
249	2021-12-11	India	other	8
250	2021-12-12	India	other	4
251	2021-12-13	India	other	8
252	2021-12-14	India	other	16
253	2021-12-15	India	other	15
254	2021-12-16	India	other	6
255	2021-12-17	India	other	3
256	2021-12-18	India	other	4
257	2021-12-19	India	other	5
258	2021-12-20	India	other	3
259	2021-12-21	India	other	8
260	2021-12-22	India	other	3
261	2021-12-23	India	other	11
262	2021-12-24	India	other	1
263	2021-12-25	India	other	1
264	2021-12-26	India	other	4
265	2021-12-27	India	other	2
266	2021-12-30	India	other	1
267	2022-01-04	India	other	1
268	2022-01-06	India	other	1
269	2021-10-15	India	Delta	135
270	2021-10-16	India	Delta	195
271	2021-10-17	India	Delta	121
272	2021-10-18	India	Delta	191
273	2021-10-19	India	Delta	165
274	2021-10-20	India	Delta	172
275	2021-10-21	India	Delta	189
276	2021-10-22	India	Delta	162
277	2021-10-23	India	Delta	173
278	2021-10-24	India	Delta	129
279	2021-10-25	India	Delta	195
280	2021-10-26	India	Delta	187
281	2021-10-27	India	Delta	199
282	2021-10-28	India	Delta	164
283	2021-10-29	India	Delta	119
284	2021-10-30	India	Delta	103
285	2021-10-31	India	Delta	66
286	2021-11-01	India	Delta	127
287	2021-11-02	India	Delta	135
288	2021-11-03	India	Delta	141
289	2021-11-04	India	Delta	50
290	2021-11-05	India	Delta	86
291	2021-11-06	India	Delta	117
292	2021-11-07	India	Delta	57
293	2021-11-08	India	Delta	128
294	2021-11-09	India	Delta	143
295	2021-11-10	India	Delta	187
296	2021-11-11	India	Delta	99
297	2021-11-12	India	Delta	84
298	2021-11-13	India	Delta	92
299	2021-11-14	India	Delta	54
300	2021-11-15	India	Delta	141
301	2021-11-16	India	Delta	159
302	2021-11-17	India	Delta	103
303	2021-11-18	India	Delta	101
304	2021-11-19	India	Delta	87
305	2021-11-20	India	Delta	127
306	2021-11-21	India	Delta	92
307	2021-11-22	India	Delta	160
308	2021-11-23	India	Delta	110
309	2021-11-24	India	Delta	120
310	2021-11-25	India	Delta	116
311	2021-11-26	India	Delta	140
312	2021-11-27	India	Delta	134
313	2021-11-28	India	Delta	72
314	2021-11-29	India	Delta	135
315	2021-11-30	India	Delta	88
316	2021-12-01	India	Delta	163
317	2021-12-02	India	Delta	101
318	2021-12-03	India	Delta	188
319	2021-12-04	India	Delta	123
320	2021-12-05	India	Delta	79
321	2021-12-06	India	Delta	138
322	2021-12-07	India	Delta	116
323	2021-12-08	India	Delta	131
324	2021-12-09	India	Delta	122
325	2021-12-10	India	Delta	94
326	2021-12-11	India	Delta	90
327	2021-12-12	India	Delta	79
328	2021-12-13	India	Delta	119
329	2021-12-14	India	Delta	116
330	2021-12-15	India	Delta	133
331	2021-12-16	India	Delta	102
332	2021-12-17	India	Delta	98
333	2021-12-18	India	Delta	100
334	2021-12-19	India	Delta	36
335	2021-12-20	India	Delta	121
336	2021-12-21	India	Delta	97
337	2021-12-22	India	Delta	153
338	2021-12-23	India	Delta	121
339	2021-12-24	India	Delta	60
340	2021-12-25	India	Delta	44
341	2021-12-26	India	Delta	10
342	2021-12-27	India	Delta	37
343	2021-12-28	India	Delta	35
344	2021-12-29	India	Delta	41
345	2021-12-30	India	Delta	38
346	2021-12-31	India	Delta	43
347	2022-01-01	India	Delta	7
348	2022-01-02	India	Delta	3
349	2022-01-03	India	Delta	12
350	2022-01-04	India	Delta	7
351	2022-01-05	India	Delta	8
352	2022-01-06	India	Delta	3
353	2022-01-09	India	Delta	1
354	2021-11-10	India	Omicron 21K	1
355	2021-11-20	India	Omicron 21K	1
356	2021-11-22	India	Omicron 21K	2
357	2021-11-23	India	Omicron 21K	4
358	2021-11-24	India	Omicron 21K	1
359	2021-11-29	India	Omicron 21K	1
360	2021-11-30	India	Omicron 21K	2
361	2021-12-02	India	Omicron 21K	4
362	2021-12-03	India	Omicron 21K	4
363	2021-12-04	India	Omicron 21K	5
364	2021-12-05	India	Omicron 21K	4
365	2021-12-06	India	Omicron 21K	1
366	2021-12-07	India	Omicron 21K	2
367	2021-12-08	India	Omicron 21K	1
368	2021-12-09	India	Omicron 21K	1
369	2021-12-11	India	Omicron 21K	4
370	2021-12-12	India	Omicron 21K	5
371	2021-12-13	India	Omicron 21K	8
372	2021-12-14	India	Omicron 21K	19
373	2021-12-15	India	Omicron 21K	24
374	2021-12-16	India	Omicron 21K	19
375	2021-12-17	India	Omicron 21K	22
376	2021-12-18	India	Omicron 21K	20
377	2021-12-19	India	Omicron 21K	15
378	2021-12-20	India	Omicron 21K	44
379	2021-12-21	India	Omicron 21K	94
380	2021-12-22	India	Omicron 21K	120
381	2021-12-23	India	Omicron 21K	118
382	2021-12-24	India	Omicron 21K	99
383	2021-12-25	India	Omicron 21K	96
384	2021-12-26	India	Omicron 21K	50
385	2021-12-27	India	Omicron 21K	58
386	2021-12-28	India	Omicron 21K	48
387	2021-12-29	India	Omicron 21K	33
388	2021-12-30	India	Omicron 21K	32
389	2021-12-31	India	Omicron 21K	31
390	2022-01-01	India	Omicron 21K	14
391	2022-01-02	India	Omicron 21K	7
392	2022-01-03	India	Omicron 21K	34
393	2022-01-04	India	Omicron 21K	45
394	2022-01-05	India	Omicron 21K	11
395	2022-01-06	India	Omicron 21K	7
396	2022-01-07	India	Omicron 21K	2
397	2022-01-08	India	Omicron 21K	6
398	2022-01-10	India	Omicron 21K	1
399	2021-11-28	India	Omicron 21L	1
400	2021-11-29	India	Omicron 21L	1
401	2021-12-15	India	Omicron 21L	1
402	2021-12-16	India	Omicron 21L	2
403	2021-12-17	India	Omicron 21L	1
404	2021-12-18	India	Omicron 21L	2
405	2021-12-20	India	Omicron 21L	3
406	2021-12-21	India	Omicron 21L	15
407	2021-12-22	India	Omicron 21L	45
408	2021-12-23	India	Omicron 21L	22
409	2021-12-24	India	Omicron 21L	33
410	2021-12-25	India	Omicron 21L	21
411	2021-12-26	India	Omicron 21L	24
412	2021-12-27	India	Omicron 21L	46
413	2021-12-28	India	Omicron 21L	40
414	2021-12-29	India	Omicron 21L	16
415	2021-12-30	India	Omicron 21L	41
416	2021-12-31	India	Omicron 21L	52
417	2022-01-01	India	Omicron 21L	13
418	2022-01-02	India	Omicron 21L	7
419	2022-01-03	India	Omicron 21L	37
420	2022-01-04	India	Omicron 21L	96
421	2022-01-05	India	Omicron 21L	36
422	2022-01-06	India	Omicron 21L	62
423	2022-01-07	India	Omicron 21L	8
424	2022-01-08	India	Omicron 21L	13
425	2022-01-09	India	Omicron 21L	9
426	2022-01-10	India	Omicron 21L	2
427	2021-12-07	Singapore	other	1
428	2021-12-28	Singapore	other	1
429	2021-10-15	Singapore	Delta	44
430	2021-10-16	Singapore	Delta	10
431	2021-10-17	Singapore	Delta	36
432	2021-10-18	Singapore	Delta	44
433	2021-10-19	Singapore	Delta	36
434	2021-10-20	Singapore	Delta	41
435	2021-10-21	Singapore	Delta	44
436	2021-10-22	Singapore	Delta	18
437	2021-10-23	Singapore	Delta	35
438	2021-10-24	Singapore	Delta	44
439	2021-10-25	Singapore	Delta	39
440	2021-10-26	Singapore	Delta	50
441	2021-10-27	Singapore	Delta	42
442	2021-10-28	Singapore	Delta	42
443	2021-10-29	Singapore	Delta	33
444	2021-10-30	Singapore	Delta	37
445	2021-10-31	Singapore	Delta	32
446	2021-11-01	Singapore	Delta	44
447	2021-11-02	Singapore	Delta	42
448	2021-11-03	Singapore	Delta	48
449	2021-11-04	Singapore	Delta	26
450	2021-11-05	Singapore	Delta	42
451	2021-11-06	Singapore	Delta	32
452	2021-11-07	Singapore	Delta	40
453	2021-11-08	Singapore	Delta	52
454	2021-11-09	Singapore	Delta	45
455	2021-11-10	Singapore	Delta	46
456	2021-11-11	Singapore	Delta	31
457	2021-11-12	Singapore	Delta	30
458	2021-11-13	Singapore	Delta	33
459	2021-11-14	Singapore	Delta	31
460	2021-11-15	Singapore	Delta	39
461	2021-11-16	Singapore	Delta	40
462	2021-11-17	Singapore	Delta	47
463	2021-11-18	Singapore	Delta	31
464	2021-11-19	Singapore	Delta	24
465	2021-11-20	Singapore	Delta	23
466	2021-11-21	Singapore	Delta	23
467	2021-11-22	Singapore	Delta	45
468	2021-11-23	Singapore	Delta	47
469	2021-11-24	Singapore	Delta	41
470	2021-11-25	Singapore	Delta	27
471	2021-11-26	Singapore	Delta	37
472	2021-11-27	Singapore	Delta	27
473	2021-11-28	Singapore	Delta	15
474	2021-11-29	Singapore	Delta	15
475	2021-11-30	Singapore	Delta	50
476	2021-12-01	Singapore	Delta	34
477	2021-12-02	Singapore	Delta	18
478	2021-12-03	Singapore	Delta	29
479	2021-12-04	Singapore	Delta	15
480	2021-12-05	Singapore	Delta	18
481	2021-12-06	Singapore	Delta	34
482	2021-12-07	Singapore	Delta	35
483	2021-12-08	Singapore	Delta	49
484	2021-12-09	Singapore	Delta	24
485	2021-12-10	Singapore	Delta	26
486	2021-12-11	Singapore	Delta	28
487	2021-12-12	Singapore	Delta	19
488	2021-12-13	Singapore	Delta	13
489	2021-12-14	Singapore	Delta	35
490	2021-12-15	Singapore	Delta	31
491	2021-12-16	Singapore	Delta	15
492	2021-12-17	Singapore	Delta	12
493	2021-12-18	Singapore	Delta	9
494	2021-12-19	Singapore	Delta	5
495	2021-12-20	Singapore	Delta	61
496	2021-12-21	Singapore	Delta	63
497	2021-12-22	Singapore	Delta	4
498	2021-12-23	Singapore	Delta	26
499	2021-12-24	Singapore	Delta	17
500	2021-12-25	Singapore	Delta	17
501	2021-12-26	Singapore	Delta	12
502	2021-12-27	Singapore	Delta	14
503	2021-12-28	Singapore	Delta	13
504	2021-12-29	Singapore	Delta	1
505	2021-12-30	Singapore	Delta	8
506	2021-12-31	Singapore	Delta	15
507	2022-01-01	Singapore	Delta	9
508	2022-01-02	Singapore	Delta	7
509	2022-01-03	Singapore	Delta	8
510	2022-01-04	Singapore	Delta	8
511	2022-01-05	Singapore	Delta	13
512	2022-01-06	Singapore	Delta	17
513	2022-01-07	Singapore	Delta	6
514	2022-01-08	Singapore	Delta	4
515	2022-01-10	Singapore	Delta	7
516	2022-01-11	Singapore	Delta	3
517	2022-01-12	Singapore	Delta	5
518	2021-12-02	Singapore	Omicron 21K	6
519	2021-12-04	Singapore	Omicron 21K	1
520	2021-12-06	Singapore	Omicron 21K	1
521	2021-12-09	Singapore	Omicron 21K	5
522	2021-12-10	Singapore	Omicron 21K	5
523	2021-12-11	Singapore	Omicron 21K	4
524	2021-12-12	Singapore	Omicron 21K	7
525	2021-12-13	Singapore	Omicron 21K	8
526	2021-12-14	Singapore	Omicron 21K	23
527	2021-12-15	Singapore	Omicron 21K	29
528	2021-12-16	Singapore	Omicron 21K	18
529	2021-12-17	Singapore	Omicron 21K	33
530	2021-12-18	Singapore	Omicron 21K	44
531	2021-12-19	Singapore	Omicron 21K	52
532	2021-12-20	Singapore	Omicron 21K	2
533	2021-12-21	Singapore	Omicron 21K	21
534	2021-12-22	Singapore	Omicron 21K	25
535	2021-12-23	Singapore	Omicron 21K	20
536	2021-12-24	Singapore	Omicron 21K	37
537	2021-12-25	Singapore	Omicron 21K	38
538	2021-12-26	Singapore	Omicron 21K	21
539	2021-12-27	Singapore	Omicron 21K	19
540	2021-12-28	Singapore	Omicron 21K	30
541	2021-12-29	Singapore	Omicron 21K	2
542	2021-12-30	Singapore	Omicron 21K	33
543	2021-12-31	Singapore	Omicron 21K	18
544	2022-01-01	Singapore	Omicron 21K	36
545	2022-01-02	Singapore	Omicron 21K	30
546	2022-01-03	Singapore	Omicron 21K	45
547	2022-01-04	Singapore	Omicron 21K	47
548	2022-01-05	Singapore	Omicron 21K	34
549	2022-01-06	Singapore	Omicron 21K	21
550	2022-01-07	Singapore	Omicron 21K	21
551	2022-01-08	Singapore	Omicron 21K	23
552	2022-01-09	Singapore	Omicron 21K	21
553	2022-01-10	Singapore	Omicron 21K	43
554	2022-01-11	Singapore	Omicron 21K	33
555	2022-01-12	Singapore	Omicron 21K	18
556	2021-12-19	Singapore	Omicron 21L	2
557	2021-12-20	Singapore	Omicron 21L	1
558	2021-12-28	Singapore	Omicron 21L	3
559	2021-12-31	Singapore	Omicron 21L	1
560	2022-01-01	Singapore	Omicron 21L	1
561	2022-01-03	Singapore	Omicron 21L	4
562	2022-01-04	Singapore	Omicron 21L	4
563	2022-01-05	Singapore	Omicron 21L	9
564	2022-01-06	Singapore	Omicron 21L	6
565	2022-01-07	Singapore	Omicron 21L	15
566	2022-01-08	Singapore	Omicron 21L	12
567	2022-01-09	Singapore	Omicron 21L	14
568	2022-01-10	Singapore	Omicron 21L	28
569	2022-01-11	Singapore	Omicron 21L	16
570	2022-01-12	Singapore	Omicron 21L	13
571	2021-10-27	Sweden	other	1
572	2021-11-01	Sweden	other	1
573	2021-12-15	Sweden	other	1
574	2021-12-16	Sweden	other	1
575	2021-12-27	Sweden	other	1
576	2022-01-04	Sweden	other	1
577	2021-10-15	Sweden	Delta	235
578	2021-10-16	Sweden	Delta	84
579	2021-10-17	Sweden	Delta	74
580	2021-10-18	Sweden	Delta	526
581	2021-10-19	Sweden	Delta	284
582	2021-10-20	Sweden	Delta	338
583	2021-10-21	Sweden	Delta	440
584	2021-10-22	Sweden	Delta	367
585	2021-10-23	Sweden	Delta	147
586	2021-10-24	Sweden	Delta	75
587	2021-10-25	Sweden	Delta	448
588	2021-10-26	Sweden	Delta	326
589	2021-10-27	Sweden	Delta	386
590	2021-10-28	Sweden	Delta	568
591	2021-10-29	Sweden	Delta	422
592	2021-10-30	Sweden	Delta	144
593	2021-10-31	Sweden	Delta	132
594	2021-11-01	Sweden	Delta	534
595	2021-11-02	Sweden	Delta	380
596	2021-11-03	Sweden	Delta	299
597	2021-11-04	Sweden	Delta	471
598	2021-11-05	Sweden	Delta	340
599	2021-11-06	Sweden	Delta	150
600	2021-11-07	Sweden	Delta	108
601	2021-11-08	Sweden	Delta	679
602	2021-11-09	Sweden	Delta	482
603	2021-11-10	Sweden	Delta	362
604	2021-11-11	Sweden	Delta	406
605	2021-11-12	Sweden	Delta	307
606	2021-11-13	Sweden	Delta	153
607	2021-11-14	Sweden	Delta	140
608	2021-11-15	Sweden	Delta	594
609	2021-11-16	Sweden	Delta	400
610	2021-11-17	Sweden	Delta	342
611	2021-11-18	Sweden	Delta	534
612	2021-11-19	Sweden	Delta	472
613	2021-11-20	Sweden	Delta	147
614	2021-11-21	Sweden	Delta	76
615	2021-11-22	Sweden	Delta	340
616	2021-11-23	Sweden	Delta	149
617	2021-11-24	Sweden	Delta	166
618	2021-11-25	Sweden	Delta	469
619	2021-11-26	Sweden	Delta	185
620	2021-11-27	Sweden	Delta	150
621	2021-11-28	Sweden	Delta	91
622	2021-11-29	Sweden	Delta	550
623	2021-11-30	Sweden	Delta	446
624	2021-12-01	Sweden	Delta	444
625	2021-12-02	Sweden	Delta	437
626	2021-12-03	Sweden	Delta	241
627	2021-12-04	Sweden	Delta	106
628	2021-12-05	Sweden	Delta	68
629	2021-12-06	Sweden	Delta	208
630	2021-12-07	Sweden	Delta	142
631	2021-12-08	Sweden	Delta	140
632	2021-12-09	Sweden	Delta	360
633	2021-12-10	Sweden	Delta	104
634	2021-12-11	Sweden	Delta	85
635	2021-12-12	Sweden	Delta	51
636	2021-12-13	Sweden	Delta	205
637	2021-12-14	Sweden	Delta	177
638	2021-12-15	Sweden	Delta	90
639	2021-12-16	Sweden	Delta	239
640	2021-12-17	Sweden	Delta	48
641	2021-12-18	Sweden	Delta	24
642	2021-12-19	Sweden	Delta	15
643	2021-12-20	Sweden	Delta	118
644	2021-12-21	Sweden	Delta	41
645	2021-12-22	Sweden	Delta	29
646	2021-12-23	Sweden	Delta	110
647	2021-12-24	Sweden	Delta	38
648	2021-12-25	Sweden	Delta	23
649	2021-12-26	Sweden	Delta	26
650	2021-12-27	Sweden	Delta	17
651	2021-12-28	Sweden	Delta	17
652	2021-12-29	Sweden	Delta	20
653	2021-12-30	Sweden	Delta	14
654	2021-12-31	Sweden	Delta	11
655	2022-01-01	Sweden	Delta	10
656	2022-01-02	Sweden	Delta	13
657	2022-01-03	Sweden	Delta	21
658	2022-01-04	Sweden	Delta	11
659	2022-01-05	Sweden	Delta	11
660	2022-01-06	Sweden	Delta	1
661	2022-01-07	Sweden	Delta	2
662	2022-01-08	Sweden	Delta	7
663	2022-01-09	Sweden	Delta	4
664	2021-11-19	Sweden	Omicron 21K	1
665	2021-11-26	Sweden	Omicron 21K	1
666	2021-11-27	Sweden	Omicron 21K	2
667	2021-11-28	Sweden	Omicron 21K	1
668	2021-11-29	Sweden	Omicron 21K	6
669	2021-11-30	Sweden	Omicron 21K	5
670	2021-12-01	Sweden	Omicron 21K	6
671	2021-12-02	Sweden	Omicron 21K	4
672	2021-12-03	Sweden	Omicron 21K	16
673	2021-12-04	Sweden	Omicron 21K	3
674	2021-12-05	Sweden	Omicron 21K	6
675	2021-12-06	Sweden	Omicron 21K	38
676	2021-12-07	Sweden	Omicron 21K	9
677	2021-12-08	Sweden	Omicron 21K	21
678	2021-12-09	Sweden	Omicron 21K	28
679	2021-12-10	Sweden	Omicron 21K	21
680	2021-12-11	Sweden	Omicron 21K	24
681	2021-12-12	Sweden	Omicron 21K	8
682	2021-12-13	Sweden	Omicron 21K	30
683	2021-12-14	Sweden	Omicron 21K	16
684	2021-12-15	Sweden	Omicron 21K	49
685	2021-12-16	Sweden	Omicron 21K	71
686	2021-12-17	Sweden	Omicron 21K	60
687	2021-12-18	Sweden	Omicron 21K	7
688	2021-12-19	Sweden	Omicron 21K	7
689	2021-12-20	Sweden	Omicron 21K	247
690	2021-12-21	Sweden	Omicron 21K	208
691	2021-12-22	Sweden	Omicron 21K	149
