location,date,variant,mv_avg_freq
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22B,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,Omicron 22C,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
United Kingdom,2022-06-30,other,
