location,model,pivot_date,variant,date,median_ga,ga_upper_80,ga_lower_80
USA,GARW,2022-04-15,Delta,2022-02-28,0.7130486,0.7481336,0.6741381
USA,GARW,2022-04-15,Delta,2022-03-01,0.71351033,0.7491959,0.6746768
USA,GARW,2022-04-15,Delta,2022-03-02,0.7137497,0.7501952,0.67474514
USA,GARW,2022-04-15,Delta,2022-03-03,0.71377325,0.7510457,0.67430323
USA,GARW,2022-04-15,Delta,2022-03-04,0.7134743,0.75154716,0.67365396
USA,GARW,2022-04-15,Delta,2022-03-05,0.713812,0.7520859,0.6735286
USA,GARW,2022-04-15,Delta,2022-03-06,0.713672,0.7525083,0.6737654
USA,GARW,2022-04-15,Delta,2022-03-07,0.7136402,0.75269306,0.67261976
USA,GARW,2022-04-15,Delta,2022-03-08,0.71346813,0.75337684,0.6721832
USA,GARW,2022-04-15,Delta,2022-03-09,0.71387243,0.753514,0.6713841
USA,GARW,2022-04-15,Delta,2022-03-10,0.71383905,0.7544107,0.67065
USA,GARW,2022-04-15,Delta,2022-03-11,0.7139944,0.7551262,0.6701102
USA,GARW,2022-04-15,Delta,2022-03-12,0.71440136,0.75611037,0.6702892
USA,GARW,2022-04-15,Delta,2022-03-13,0.7146162,0.7565471,0.67038196
USA,GARW,2022-04-15,Delta,2022-03-14,0.7150136,0.7571095,0.6702896
USA,GARW,2022-04-15,Delta,2022-03-15,0.7153183,0.75861746,0.6704554
USA,GARW,2022-04-15,Delta,2022-03-16,0.71595895,0.7595714,0.67032063
USA,GARW,2022-04-15,Delta,2022-03-17,0.7164648,0.76070106,0.67089903
USA,GARW,2022-04-15,Delta,2022-03-18,0.7173409,0.7620572,0.6717763
USA,GARW,2022-04-15,Delta,2022-03-19,0.7176796,0.7626372,0.67112607
USA,GARW,2022-04-15,Delta,2022-03-20,0.7185153,0.7636168,0.671817
USA,GARW,2022-04-15,Delta,2022-03-21,0.71883404,0.7649563,0.6721996
USA,GARW,2022-04-15,Delta,2022-03-22,0.7192538,0.7660404,0.6721543
USA,GARW,2022-04-15,Delta,2022-03-23,0.7194406,0.76632357,0.67183656
USA,GARW,2022-04-15,Delta,2022-03-24,0.7198238,0.76594865,0.6718771
USA,GARW,2022-04-15,Delta,2022-03-25,0.71997637,0.76671106,0.6717465
USA,GARW,2022-04-15,Delta,2022-03-26,0.7198035,0.76863915,0.6711082
USA,GARW,2022-04-15,Delta,2022-03-27,0.71962595,0.7683559,0.67104656
USA,GARW,2022-04-15,Delta,2022-03-28,0.71924233,0.7683481,0.670118
USA,GARW,2022-04-15,Delta,2022-03-29,0.71946704,0.7689671,0.6701536
USA,GARW,2022-04-15,Delta,2022-03-30,0.71938217,0.76877946,0.66985273
USA,GARW,2022-04-15,Delta,2022-03-31,0.719308,0.7691357,0.6691432
USA,GARW,2022-04-15,Delta,2022-04-01,0.7186496,0.76885074,0.6681233
USA,GARW,2022-04-15,Delta,2022-04-02,0.7177796,0.76881725,0.6676533
USA,GARW,2022-04-15,Delta,2022-04-03,0.7181879,0.76935506,0.66727674
USA,GARW,2022-04-15,Delta,2022-04-04,0.7177106,0.7698418,0.6661181
USA,GARW,2022-04-15,Delta,2022-04-05,0.717952,0.77004015,0.66515887
USA,GARW,2022-04-15,Delta,2022-04-06,0.7174736,0.7707566,0.6647664
USA,GARW,2022-04-15,Delta,2022-04-07,0.7173677,0.77139306,0.66353655
USA,GARW,2022-04-15,Delta,2022-04-08,0.7170591,0.77219105,0.6622159
USA,GARW,2022-04-15,Delta,2022-04-09,0.71667117,0.77244353,0.6607915
USA,GARW,2022-04-15,Delta,2022-04-10,0.71665597,0.77348304,0.6600051
USA,GARW,2022-04-15,Delta,2022-04-11,0.7169057,0.7730749,0.65820897
USA,GARW,2022-04-15,Delta,2022-04-12,0.7167787,0.7736125,0.65721506
USA,GARW,2022-04-15,Delta,2022-04-13,0.7160821,0.774303,0.6572302
USA,GARW,2022-04-15,Delta,2022-04-14,0.7151825,0.77492297,0.65573806
USA,GARW,2022-04-15,Delta,2022-04-15,0.7148366,0.7760201,0.65436256
USA,GARW,2022-04-15,Omicron 21K,2022-01-02,1.242412,1.3069592,1.1817503
USA,GARW,2022-04-15,Omicron 21K,2022-01-03,1.2329049,1.2908739,1.1763465
USA,GARW,2022-04-15,Omicron 21K,2022-01-04,1.2239461,1.2763522,1.1721989
USA,GARW,2022-04-15,Omicron 21K,2022-01-05,1.2156928,1.2638041,1.1666281
USA,GARW,2022-04-15,Omicron 21K,2022-01-06,1.2077086,1.2516619,1.1605427
USA,GARW,2022-04-15,Omicron 21K,2022-01-07,1.1996343,1.2413782,1.1562495
USA,GARW,2022-04-15,Omicron 21K,2022-01-08,1.1921782,1.2306583,1.1507229
USA,GARW,2022-04-15,Omicron 21K,2022-01-09,1.1849259,1.2217159,1.1473215
USA,GARW,2022-04-15,Omicron 21K,2022-01-10,1.1778488,1.2126913,1.1425867
USA,GARW,2022-04-15,Omicron 21K,2022-01-11,1.1717756,1.2048509,1.1385986
USA,GARW,2022-04-15,Omicron 21K,2022-01-12,1.1662116,1.1972266,1.1334305
USA,GARW,2022-04-15,Omicron 21K,2022-01-13,1.1609268,1.1909624,1.1300379
USA,GARW,2022-04-15,Omicron 21K,2022-01-14,1.155016,1.1842886,1.1242846
USA,GARW,2022-04-15,Omicron 21K,2022-01-15,1.1500702,1.1787912,1.1199245
USA,GARW,2022-04-15,Omicron 21K,2022-01-16,1.1450815,1.1743182,1.1150546
USA,GARW,2022-04-15,Omicron 21K,2022-01-17,1.1409665,1.1687117,1.1106768
USA,GARW,2022-04-15,Omicron 21K,2022-01-18,1.136376,1.1645169,1.1061368
USA,GARW,2022-04-15,Omicron 21K,2022-01-19,1.1320866,1.1601615,1.102089
USA,GARW,2022-04-15,Omicron 21K,2022-01-20,1.1273918,1.1553987,1.0987905
USA,GARW,2022-04-15,Omicron 21K,2022-01-21,1.1232044,1.1501257,1.0949417
USA,GARW,2022-04-15,Omicron 21K,2022-01-22,1.1183763,1.1446458,1.0906225
USA,GARW,2022-04-15,Omicron 21K,2022-01-23,1.1131237,1.1390953,1.086043
USA,GARW,2022-04-15,Omicron 21K,2022-01-24,1.1076939,1.1335797,1.0817763
USA,GARW,2022-04-15,Omicron 21K,2022-01-25,1.1014154,1.1270571,1.0767553
USA,GARW,2022-04-15,Omicron 21K,2022-01-26,1.0955065,1.1207256,1.0715331
USA,GARW,2022-04-15,Omicron 21K,2022-01-27,1.0891323,1.1137162,1.0656635
USA,GARW,2022-04-15,Omicron 21K,2022-01-28,1.0824612,1.1061718,1.0602417
USA,GARW,2022-04-15,Omicron 21K,2022-01-29,1.075654,1.0983562,1.054044
USA,GARW,2022-04-15,Omicron 21K,2022-01-30,1.0681379,1.0903541,1.0466297
USA,GARW,2022-04-15,Omicron 21K,2022-01-31,1.060402,1.0823333,1.0393991
USA,GARW,2022-04-15,Omicron 21K,2022-02-01,1.0528398,1.0743971,1.0316288
USA,GARW,2022-04-15,Omicron 21K,2022-02-02,1.0449369,1.0662262,1.0240562
USA,GARW,2022-04-15,Omicron 21K,2022-02-03,1.0372353,1.0579805,1.0157748
USA,GARW,2022-04-15,Omicron 21K,2022-02-04,1.0292377,1.0504644,1.0085251
USA,GARW,2022-04-15,Omicron 21K,2022-02-05,1.0213836,1.0426344,1.0003811
USA,GARW,2022-04-15,Omicron 21K,2022-02-06,1.0128951,1.0345304,0.99312955
USA,GARW,2022-04-15,Omicron 21K,2022-02-07,1.0054699,1.0262601,0.98560786
USA,GARW,2022-04-15,Omicron 21K,2022-02-08,0.99776363,1.0178313,0.9785526
USA,GARW,2022-04-15,Omicron 21K,2022-02-09,0.9899482,1.0095315,0.9718512
USA,GARW,2022-04-15,Omicron 21K,2022-02-10,0.9822743,1.001585,0.9644867
USA,GARW,2022-04-15,Omicron 21K,2022-02-11,0.97448385,0.99369824,0.95796
USA,GARW,2022-04-15,Omicron 21K,2022-02-12,0.967051,0.98622364,0.9504998
USA,GARW,2022-04-15,Omicron 21K,2022-02-13,0.9599717,0.9785216,0.9434612
USA,GARW,2022-04-15,Omicron 21K,2022-02-14,0.95315504,0.97150695,0.9363856
USA,GARW,2022-04-15,Omicron 21K,2022-02-15,0.946697,0.9649069,0.92986286
USA,GARW,2022-04-15,Omicron 21K,2022-02-16,0.94049096,0.9585668,0.92286855
USA,GARW,2022-04-15,Omicron 21K,2022-02-17,0.9341076,0.95256925,0.9165995
USA,GARW,2022-04-15,Omicron 21K,2022-02-18,0.92845476,0.9466372,0.9105768
USA,GARW,2022-04-15,Omicron 21K,2022-02-19,0.9226452,0.94066894,0.90510654
USA,GARW,2022-04-15,Omicron 21K,2022-02-20,0.91722274,0.93507665,0.8997232
USA,GARW,2022-04-15,Omicron 21K,2022-02-21,0.911764,0.9294317,0.89514506
USA,GARW,2022-04-15,Omicron 21K,2022-02-22,0.9069474,0.92430043,0.890367
USA,GARW,2022-04-15,Omicron 21K,2022-02-23,0.90237963,0.9194814,0.8856623
USA,GARW,2022-04-15,Omicron 21K,2022-02-24,0.8979305,0.91530377,0.8814123
USA,GARW,2022-04-15,Omicron 21K,2022-02-25,0.89372313,0.9117466,0.87732846
USA,GARW,2022-04-15,Omicron 21K,2022-02-26,0.8899825,0.9086078,0.87345684
USA,GARW,2022-04-15,Omicron 21K,2022-02-27,0.88690734,0.9059784,0.8699431
USA,GARW,2022-04-15,Omicron 21K,2022-02-28,0.88389075,0.90335864,0.866734
USA,GARW,2022-04-15,Omicron 21K,2022-03-01,0.8813453,0.9010993,0.8639256
USA,GARW,2022-04-15,Omicron 21K,2022-03-02,0.879096,0.89894783,0.8610035
USA,GARW,2022-04-15,Omicron 21K,2022-03-03,0.87730026,0.89703494,0.85870874
USA,GARW,2022-04-15,Omicron 21K,2022-03-04,0.875279,0.8958317,0.8574772
USA,GARW,2022-04-15,Omicron 21K,2022-03-05,0.8738229,0.89436036,0.8554865
USA,GARW,2022-04-15,Omicron 21K,2022-03-06,0.8729474,0.8933894,0.8538097
USA,GARW,2022-04-15,Omicron 21K,2022-03-07,0.8721154,0.89274627,0.8528129
USA,GARW,2022-04-15,Omicron 21K,2022-03-08,0.8712679,0.8919597,0.8516675
USA,GARW,2022-04-15,Omicron 21K,2022-03-09,0.8707994,0.8913882,0.8508593
USA,GARW,2022-04-15,Omicron 21K,2022-03-10,0.8703212,0.8905739,0.8497727
USA,GARW,2022-04-15,Omicron 21K,2022-03-11,0.8700567,0.89041376,0.84913987
USA,GARW,2022-04-15,Omicron 21K,2022-03-12,0.8695316,0.8906821,0.8484534
USA,GARW,2022-04-15,Omicron 21K,2022-03-13,0.86928564,0.8906567,0.8475902
USA,GARW,2022-04-15,Omicron 21K,2022-03-14,0.86889756,0.8911743,0.84688556
USA,GARW,2022-04-15,Omicron 21K,2022-03-15,0.86873424,0.89115435,0.8464838
USA,GARW,2022-04-15,Omicron 21K,2022-03-16,0.86878866,0.8910646,0.84588933
USA,GARW,2022-04-15,Omicron 21K,2022-03-17,0.86870056,0.89110935,0.84541774
USA,GARW,2022-04-15,Omicron 21K,2022-03-18,0.86853355,0.8918354,0.84546065
USA,GARW,2022-04-15,Omicron 21K,2022-03-19,0.868662,0.8922433,0.8450703
USA,GARW,2022-04-15,Omicron 21K,2022-03-20,0.8687835,0.8931272,0.84513175
USA,GARW,2022-04-15,Omicron 21K,2022-03-21,0.86909986,0.8939365,0.84460884
USA,GARW,2022-04-15,Omicron 21K,2022-03-22,0.8694355,0.8944533,0.8438588
USA,GARW,2022-04-15,Omicron 21K,2022-03-23,0.86925167,0.8951406,0.84361416
USA,GARW,2022-04-15,Omicron 21K,2022-03-24,0.86940944,0.89557683,0.84348506
USA,GARW,2022-04-15,Omicron 21K,2022-03-25,0.8698969,0.89667034,0.84243643
USA,GARW,2022-04-15,Omicron 21K,2022-03-26,0.86980426,0.8980208,0.8425409
USA,GARW,2022-04-15,Omicron 21K,2022-03-27,0.87013304,0.898991,0.8418165
USA,GARW,2022-04-15,Omicron 21K,2022-03-28,0.87069166,0.900188,0.8400755
USA,GARW,2022-04-15,Omicron 21K,2022-03-29,0.87111163,0.90235895,0.83930063
USA,GARW,2022-04-15,Omicron 21K,2022-03-30,0.8713559,0.90495384,0.8377514
USA,GARW,2022-04-15,Omicron 21K,2022-03-31,0.8719541,0.90736985,0.8373418
USA,GARW,2022-04-15,Omicron 21K,2022-04-01,0.8722987,0.909125,0.83659124
USA,GARW,2022-04-15,Omicron 21K,2022-04-02,0.8728237,0.9118263,0.8355086
USA,GARW,2022-04-15,Omicron 21K,2022-04-03,0.8733382,0.91334355,0.8341614
USA,GARW,2022-04-15,Omicron 21K,2022-04-04,0.8736336,0.9157487,0.8330884
USA,GARW,2022-04-15,Omicron 21K,2022-04-05,0.8737614,0.917753,0.8314538
USA,GARW,2022-04-15,Omicron 21K,2022-04-06,0.8741049,0.9203801,0.8301296
USA,GARW,2022-04-15,Omicron 21K,2022-04-07,0.87461126,0.92180663,0.82869333
USA,GARW,2022-04-15,Omicron 21K,2022-04-08,0.8744379,0.9240736,0.8269106
USA,GARW,2022-04-15,Omicron 21K,2022-04-09,0.8743955,0.9260493,0.82423174
USA,GARW,2022-04-15,Omicron 21K,2022-04-10,0.8746643,0.9288468,0.8219968
USA,GARW,2022-04-15,Omicron 21K,2022-04-11,0.8753233,0.93239,0.8189138
USA,GARW,2022-04-15,Omicron 21K,2022-04-12,0.87501824,0.9329401,0.8166671
USA,GARW,2022-04-15,Omicron 21K,2022-04-13,0.8760143,0.9349673,0.81379247
USA,GARW,2022-04-15,Omicron 21K,2022-04-14,0.8747152,0.9381939,0.8105345
USA,GARW,2022-04-15,Omicron 21K,2022-04-15,0.87329566,0.94102496,0.80750865
USA,GARW,2022-04-15,Omicron 21L,2022-01-02,1.4753973,1.5372282,1.4172132
USA,GARW,2022-04-15,Omicron 21L,2022-01-03,1.4909961,1.5449159,1.4381614
USA,GARW,2022-04-15,Omicron 21L,2022-01-04,1.50417,1.5499305,1.4560754
USA,GARW,2022-04-15,Omicron 21L,2022-01-05,1.5154306,1.5558488,1.4694357
USA,GARW,2022-04-15,Omicron 21L,2022-01-06,1.5245631,1.5643812,1.480188
USA,GARW,2022-04-15,Omicron 21L,2022-01-07,1.5309119,1.5701213,1.4893724
USA,GARW,2022-04-15,Omicron 21L,2022-01-08,1.5359936,1.5740508,1.495366
USA,GARW,2022-04-15,Omicron 21L,2022-01-09,1.5399888,1.5771997,1.5002356
USA,GARW,2022-04-15,Omicron 21L,2022-01-10,1.5426003,1.5785509,1.5041337
USA,GARW,2022-04-15,Omicron 21L,2022-01-11,1.5438101,1.5794184,1.5068963
USA,GARW,2022-04-15,Omicron 21L,2022-01-12,1.5446815,1.5797007,1.5079353
USA,GARW,2022-04-15,Omicron 21L,2022-01-13,1.5443923,1.5796025,1.5084846
USA,GARW,2022-04-15,Omicron 21L,2022-01-14,1.5442643,1.5791172,1.5099818
USA,GARW,2022-04-15,Omicron 21L,2022-01-15,1.5439883,1.5781755,1.5107962
USA,GARW,2022-04-15,Omicron 21L,2022-01-16,1.5434123,1.5766301,1.5108025
USA,GARW,2022-04-15,Omicron 21L,2022-01-17,1.5429965,1.5753031,1.5100431
USA,GARW,2022-04-15,Omicron 21L,2022-01-18,1.5423539,1.574377,1.5096456
USA,GARW,2022-04-15,Omicron 21L,2022-01-19,1.5414051,1.5733869,1.5093001
USA,GARW,2022-04-15,Omicron 21L,2022-01-20,1.5403919,1.5712738,1.5084002
USA,GARW,2022-04-15,Omicron 21L,2022-01-21,1.538511,1.5692343,1.5072395
USA,GARW,2022-04-15,Omicron 21L,2022-01-22,1.5370011,1.5676957,1.5062864
USA,GARW,2022-04-15,Omicron 21L,2022-01-23,1.5352888,1.5646865,1.5050111
USA,GARW,2022-04-15,Omicron 21L,2022-01-24,1.5331688,1.5618995,1.5037241
USA,GARW,2022-04-15,Omicron 21L,2022-01-25,1.5305002,1.5588741,1.5016105
USA,GARW,2022-04-15,Omicron 21L,2022-01-26,1.5278376,1.555906,1.4993837
USA,GARW,2022-04-15,Omicron 21L,2022-01-27,1.5251083,1.55288,1.4971243
USA,GARW,2022-04-15,Omicron 21L,2022-01-28,1.5219958,1.5494888,1.4947102
USA,GARW,2022-04-15,Omicron 21L,2022-01-29,1.5186057,1.5451121,1.4921657
USA,GARW,2022-04-15,Omicron 21L,2022-01-30,1.5145581,1.5402822,1.4890646
USA,GARW,2022-04-15,Omicron 21L,2022-01-31,1.5104705,1.536045,1.4858818
USA,GARW,2022-04-15,Omicron 21L,2022-02-01,1.5058017,1.531625,1.4813731
USA,GARW,2022-04-15,Omicron 21L,2022-02-02,1.5005504,1.5269135,1.476366
USA,GARW,2022-04-15,Omicron 21L,2022-02-03,1.4951878,1.5212232,1.4709833
USA,GARW,2022-04-15,Omicron 21L,2022-02-04,1.4893906,1.514998,1.4654237
USA,GARW,2022-04-15,Omicron 21L,2022-02-05,1.4828699,1.5086942,1.4592909
USA,GARW,2022-04-15,Omicron 21L,2022-02-06,1.476192,1.5023279,1.4528527
USA,GARW,2022-04-15,Omicron 21L,2022-02-07,1.4688991,1.49528,1.4463489
USA,GARW,2022-04-15,Omicron 21L,2022-02-08,1.4613811,1.48752,1.4397814
USA,GARW,2022-04-15,Omicron 21L,2022-02-09,1.4542816,1.4793751,1.4328306
USA,GARW,2022-04-15,Omicron 21L,2022-02-10,1.4461801,1.471092,1.4254104
USA,GARW,2022-04-15,Omicron 21L,2022-02-11,1.4387658,1.4640119,1.4176726
USA,GARW,2022-04-15,Omicron 21L,2022-02-12,1.4313914,1.4570816,1.4106848
USA,GARW,2022-04-15,Omicron 21L,2022-02-13,1.4241416,1.4492832,1.4029152
USA,GARW,2022-04-15,Omicron 21L,2022-02-14,1.4170401,1.4425635,1.3946121
USA,GARW,2022-04-15,Omicron 21L,2022-02-15,1.410774,1.4362274,1.3871669
USA,GARW,2022-04-15,Omicron 21L,2022-02-16,1.4046376,1.4301243,1.380081
USA,GARW,2022-04-15,Omicron 21L,2022-02-17,1.3987103,1.4250118,1.3744662
USA,GARW,2022-04-15,Omicron 21L,2022-02-18,1.3934623,1.4201584,1.3685647
USA,GARW,2022-04-15,Omicron 21L,2022-02-19,1.3889863,1.4160312,1.3645413
USA,GARW,2022-04-15,Omicron 21L,2022-02-20,1.384964,1.4124631,1.3599199
USA,GARW,2022-04-15,Omicron 21L,2022-02-21,1.3814354,1.4087253,1.356535
USA,GARW,2022-04-15,Omicron 21L,2022-02-22,1.378562,1.4060583,1.353751
USA,GARW,2022-04-15,Omicron 21L,2022-02-23,1.376199,1.4038141,1.350617
USA,GARW,2022-04-15,Omicron 21L,2022-02-24,1.3739218,1.4016974,1.3479921
USA,GARW,2022-04-15,Omicron 21L,2022-02-25,1.3718128,1.3999205,1.3455973
USA,GARW,2022-04-15,Omicron 21L,2022-02-26,1.3698577,1.3985637,1.3439476
USA,GARW,2022-04-15,Omicron 21L,2022-02-27,1.368056,1.3972216,1.3425679
USA,GARW,2022-04-15,Omicron 21L,2022-02-28,1.3668504,1.3963488,1.3402078
USA,GARW,2022-04-15,Omicron 21L,2022-03-01,1.364999,1.3949673,1.3386124
USA,GARW,2022-04-15,Omicron 21L,2022-03-02,1.36378,1.3937154,1.3365716
USA,GARW,2022-04-15,Omicron 21L,2022-03-03,1.3626444,1.392277,1.3354204
USA,GARW,2022-04-15,Omicron 21L,2022-03-04,1.3615115,1.3915743,1.3334514
USA,GARW,2022-04-15,Omicron 21L,2022-03-05,1.3599463,1.3901725,1.3320884
USA,GARW,2022-04-15,Omicron 21L,2022-03-06,1.3581489,1.3887445,1.3307637
USA,GARW,2022-04-15,Omicron 21L,2022-03-07,1.3564056,1.3878793,1.3287574
USA,GARW,2022-04-15,Omicron 21L,2022-03-08,1.3547527,1.386949,1.326785
USA,GARW,2022-04-15,Omicron 21L,2022-03-09,1.3538527,1.3857735,1.3248632
USA,GARW,2022-04-15,Omicron 21L,2022-03-10,1.3529313,1.38472,1.3233705
USA,GARW,2022-04-15,Omicron 21L,2022-03-11,1.3521004,1.3842677,1.3206596
USA,GARW,2022-04-15,Omicron 21L,2022-03-12,1.351475,1.3840902,1.3186259
USA,GARW,2022-04-15,Omicron 21L,2022-03-13,1.3509834,1.3835362,1.3169535
USA,GARW,2022-04-15,Omicron 21L,2022-03-14,1.3495734,1.383206,1.3145877
USA,GARW,2022-04-15,Omicron 21L,2022-03-15,1.3488681,1.3830471,1.3130279
USA,GARW,2022-04-15,Omicron 21L,2022-03-16,1.348824,1.382449,1.3110198
USA,GARW,2022-04-15,Omicron 21L,2022-03-17,1.348562,1.3827072,1.3097761
USA,GARW,2022-04-15,Omicron 21L,2022-03-18,1.3478041,1.3825349,1.3080983
USA,GARW,2022-04-15,Omicron 21L,2022-03-19,1.3471824,1.3825225,1.306429
USA,GARW,2022-04-15,Omicron 21L,2022-03-20,1.3464942,1.383234,1.3042942
USA,GARW,2022-04-15,Omicron 21L,2022-03-21,1.3456665,1.3833791,1.3025174
USA,GARW,2022-04-15,Omicron 21L,2022-03-22,1.3450832,1.3834735,1.3006052
USA,GARW,2022-04-15,Omicron 21L,2022-03-23,1.3447013,1.3838568,1.2992828
USA,GARW,2022-04-15,Omicron 21L,2022-03-24,1.343959,1.384125,1.2974397
USA,GARW,2022-04-15,Omicron 21L,2022-03-25,1.3426466,1.3847007,1.2959028
USA,GARW,2022-04-15,Omicron 21L,2022-03-26,1.3422673,1.3858792,1.2941763
USA,GARW,2022-04-15,Omicron 21L,2022-03-27,1.3406982,1.3867712,1.2925882
USA,GARW,2022-04-15,Omicron 21L,2022-03-28,1.3392172,1.3883585,1.2910788
USA,GARW,2022-04-15,Omicron 21L,2022-03-29,1.3381791,1.3892063,1.2883095
USA,GARW,2022-04-15,Omicron 21L,2022-03-30,1.3371346,1.3907583,1.2839485
USA,GARW,2022-04-15,Omicron 21L,2022-03-31,1.336274,1.3913741,1.2807744
USA,GARW,2022-04-15,Omicron 21L,2022-04-01,1.3355589,1.3925873,1.2773106
USA,GARW,2022-04-15,Omicron 21L,2022-04-02,1.3335533,1.3926991,1.2743301
USA,GARW,2022-04-15,Omicron 21L,2022-04-03,1.3327409,1.3940179,1.271999
USA,GARW,2022-04-15,Omicron 21L,2022-04-04,1.3320332,1.3945119,1.2677766
USA,GARW,2022-04-15,Omicron 21L,2022-04-05,1.3306789,1.3953258,1.2655952
USA,GARW,2022-04-15,Omicron 21L,2022-04-06,1.3294837,1.3969355,1.2619698
USA,GARW,2022-04-15,Omicron 21L,2022-04-07,1.3287308,1.4001747,1.257146
USA,GARW,2022-04-15,Omicron 21L,2022-04-08,1.3288524,1.4038216,1.2547337
USA,GARW,2022-04-15,Omicron 21L,2022-04-09,1.3282408,1.405373,1.2507931
