date	location	variant	date_submitted	sequences
2022-01-01	Brazil	Omicron 21K	2022-03-18	1
2022-01-01	Brazil	Omicron 21K	2022-03-22	1
2022-01-01	Brazil	Omicron 21K	2022-04-04	1
2022-01-01	Brazil	Omicron 21K	2022-05-03	1
2022-01-01	Brazil	Omicron 21K	2022-05-22	1
2022-01-01	Brazil	Omicron 21K	2022-06-11	1
2022-01-01	Brazil	Omicron 21K	2022-07-01	1
2022-01-01	Brazil	Omicron 21K	2022-07-14	1
2022-01-01	Japan	Delta	2022-01-11	1
2022-01-01	Japan	Delta	2022-01-23	6
2022-01-01	Japan	Delta	2022-01-28	25
2022-01-01	Japan	Delta	2022-02-03	2
2022-01-01	Japan	Delta	2022-03-04	4
2022-01-01	Japan	Delta	2022-04-04	3
2022-01-01	Japan	Delta	2022-05-27	1
2022-01-01	Japan	Delta	2022-08-24	2
2022-01-01	Japan	Omicron 21K	2022-01-11	53
2022-01-01	Japan	Omicron 21K	2022-01-21	4
2022-01-01	Japan	Omicron 21K	2022-01-23	2
2022-01-01	Japan	Omicron 21K	2022-01-28	145
2022-01-01	Japan	Omicron 21K	2022-03-04	14
2022-01-01	Japan	Omicron 21L	2022-01-11	1
2022-01-01	South Africa	Delta	2022-01-11	1
2022-01-01	South Africa	Omicron 21K	2022-01-11	10
2022-01-01	South Africa	Omicron 21K	2022-01-13	5
2022-01-01	South Africa	Omicron 21K	2022-01-22	4
2022-01-01	South Africa	Omicron 21K	2022-01-25	1
2022-01-01	South Africa	Omicron 21K	2022-01-28	3
2022-01-01	South Africa	Omicron 21K	2022-02-02	6
2022-01-01	South Africa	Omicron 21K	2022-02-09	3
2022-01-01	South Africa	Omicron 21K	2022-03-03	1
2022-01-01	South Africa	Omicron 21K	2022-03-10	1
2022-01-01	South Africa	Omicron 21K	2022-03-22	1
2022-01-01	South Africa	Omicron 21L	2022-01-13	2
2022-01-01	South Africa	Omicron 21L	2022-02-02	3
2022-01-01	South Africa	Omicron 21L	2022-03-10	1
2022-01-01	USA	Delta	2022-01-06	3
2022-01-01	USA	Delta	2022-01-07	7
2022-01-01	USA	Delta	2022-01-08	1
2022-01-01	USA	Delta	2022-01-09	7
2022-01-01	USA	Delta	2022-01-10	3
2022-01-01	USA	Delta	2022-01-11	19
2022-01-01	USA	Delta	2022-01-12	6
2022-01-01	USA	Delta	2022-01-13	9
2022-01-01	USA	Delta	2022-01-14	24
2022-01-01	USA	Delta	2022-01-15	7
2022-01-01	USA	Delta	2022-01-17	1
2022-01-01	USA	Delta	2022-01-18	6
2022-01-01	USA	Delta	2022-01-19	11
2022-01-01	USA	Delta	2022-01-20	4
2022-01-01	USA	Delta	2022-01-21	10
2022-01-01	USA	Delta	2022-01-22	2
2022-01-01	USA	Delta	2022-01-24	16
2022-01-01	USA	Delta	2022-01-25	22
2022-01-01	USA	Delta	2022-01-26	7
2022-01-01	USA	Delta	2022-01-27	28
2022-01-01	USA	Delta	2022-01-28	17
2022-01-01	USA	Delta	2022-01-31	2
2022-01-01	USA	Delta	2022-02-01	4
2022-01-01	USA	Delta	2022-02-02	1
2022-01-01	USA	Delta	2022-02-03	1
2022-01-01	USA	Delta	2022-02-04	8
2022-01-01	USA	Delta	2022-02-06	1
2022-01-01	USA	Delta	2022-02-07	3
2022-01-01	USA	Delta	2022-02-08	5
2022-01-01	USA	Delta	2022-02-09	13
2022-01-01	USA	Delta	2022-02-10	4
2022-01-01	USA	Delta	2022-02-15	3
2022-01-01	USA	Delta	2022-02-16	2
2022-01-01	USA	Delta	2022-02-19	1
2022-01-01	USA	Delta	2022-02-22	11
2022-01-01	USA	Delta	2022-02-23	7
2022-01-01	USA	Delta	2022-02-25	2
2022-01-01	USA	Delta	2022-02-26	4
2022-01-01	USA	Delta	2022-03-03	1
2022-01-01	USA	Delta	2022-03-04	3
2022-01-01	USA	Delta	2022-03-16	6
2022-01-01	USA	Delta	2022-03-17	2
2022-01-01	USA	Delta	2022-03-18	1
2022-01-01	USA	Delta	2022-03-20	5
2022-01-01	USA	Delta	2022-03-23	1
2022-01-01	USA	Delta	2022-03-24	2
2022-01-01	USA	Delta	2022-03-25	3
2022-01-01	USA	Delta	2022-03-30	3
2022-01-01	USA	Delta	2022-04-01	18
2022-01-01	USA	Delta	2022-04-06	7
2022-01-01	USA	Delta	2022-04-08	2
2022-01-01	USA	Delta	2022-04-10	2
2022-01-01	USA	Delta	2022-04-11	6
2022-01-01	USA	Delta	2022-04-13	6
2022-01-01	USA	Delta	2022-04-18	4
2022-01-01	USA	Delta	2022-04-19	11
2022-01-01	USA	Delta	2022-04-21	1
2022-01-01	USA	Delta	2022-04-27	2
2022-01-01	USA	Delta	2022-05-07	6
2022-01-01	USA	Delta	2022-05-08	4
2022-01-01	USA	Delta	2022-05-09	1
2022-01-01	USA	Delta	2022-05-11	1
2022-01-01	USA	Delta	2022-05-12	2
2022-01-01	USA	Delta	2022-05-16	5
2022-01-01	USA	Delta	2022-05-19	11
2022-01-01	USA	Delta	2022-05-24	1
2022-01-01	USA	Delta	2022-05-27	5
2022-01-01	USA	Delta	2022-06-01	4
2022-01-01	USA	Delta	2022-06-13	3
2022-01-01	USA	Delta	2022-06-23	1
2022-01-01	USA	Delta	2022-07-28	1
2022-01-01	USA	Delta	2022-08-16	1
2022-01-01	USA	Delta	2022-09-14	2
2022-01-01	USA	Omicron 21K	2022-01-06	50
2022-01-01	USA	Omicron 21K	2022-01-07	56
2022-01-01	USA	Omicron 21K	2022-01-08	6
2022-01-01	USA	Omicron 21K	2022-01-09	191
2022-01-01	USA	Omicron 21K	2022-01-10	1
2022-01-01	USA	Omicron 21K	2022-01-11	47
2022-01-01	USA	Omicron 21K	2022-01-12	72
2022-01-01	USA	Omicron 21K	2022-01-13	74
2022-01-01	USA	Omicron 21K	2022-01-14	114
2022-01-01	USA	Omicron 21K	2022-01-15	44
2022-01-01	USA	Omicron 21K	2022-01-16	5
2022-01-01	USA	Omicron 21K	2022-01-17	2
2022-01-01	USA	Omicron 21K	2022-01-18	151
2022-01-01	USA	Omicron 21K	2022-01-19	165
2022-01-01	USA	Omicron 21K	2022-01-20	65
2022-01-01	USA	Omicron 21K	2022-01-21	174
2022-01-01	USA	Omicron 21K	2022-01-22	31
2022-01-01	USA	Omicron 21K	2022-01-24	149
2022-01-01	USA	Omicron 21K	2022-01-25	139
2022-01-01	USA	Omicron 21K	2022-01-26	82
2022-01-01	USA	Omicron 21K	2022-01-27	443
2022-01-01	USA	Omicron 21K	2022-01-28	107
2022-01-01	USA	Omicron 21K	2022-01-29	25
2022-01-01	USA	Omicron 21K	2022-01-31	17
2022-01-01	USA	Omicron 21K	2022-02-01	68
2022-01-01	USA	Omicron 21K	2022-02-02	14
2022-01-01	USA	Omicron 21K	2022-02-03	2
2022-01-01	USA	Omicron 21K	2022-02-04	89
2022-01-01	USA	Omicron 21K	2022-02-05	9
2022-01-01	USA	Omicron 21K	2022-02-06	2
2022-01-01	USA	Omicron 21K	2022-02-07	35
2022-01-01	USA	Omicron 21K	2022-02-08	66
2022-01-01	USA	Omicron 21K	2022-02-09	134
2022-01-01	USA	Omicron 21K	2022-02-10	18
2022-01-01	USA	Omicron 21K	2022-02-11	2
2022-01-01	USA	Omicron 21K	2022-02-12	1
2022-01-01	USA	Omicron 21K	2022-02-13	7
2022-01-01	USA	Omicron 21K	2022-02-15	57
2022-01-01	USA	Omicron 21K	2022-02-16	26
2022-01-01	USA	Omicron 21K	2022-02-17	3
2022-01-01	USA	Omicron 21K	2022-02-18	5
2022-01-01	USA	Omicron 21K	2022-02-19	10
2022-01-01	USA	Omicron 21K	2022-02-22	22
2022-01-01	USA	Omicron 21K	2022-02-23	16
2022-01-01	USA	Omicron 21K	2022-02-24	20
2022-01-01	USA	Omicron 21K	2022-02-25	1
2022-01-01	USA	Omicron 21K	2022-02-26	24
2022-01-01	USA	Omicron 21K	2022-02-28	2
2022-01-01	USA	Omicron 21K	2022-03-01	1
2022-01-01	USA	Omicron 21K	2022-03-02	86
2022-01-01	USA	Omicron 21K	2022-03-03	8
2022-01-01	USA	Omicron 21K	2022-03-04	51
2022-01-01	USA	Omicron 21K	2022-03-07	14
2022-01-01	USA	Omicron 21K	2022-03-08	3
2022-01-01	USA	Omicron 21K	2022-03-09	11
2022-01-01	USA	Omicron 21K	2022-03-10	19
2022-01-01	USA	Omicron 21K	2022-03-11	5
2022-01-01	USA	Omicron 21K	2022-03-12	138
2022-01-01	USA	Omicron 21K	2022-03-13	5
2022-01-01	USA	Omicron 21K	2022-03-15	10
2022-01-01	USA	Omicron 21K	2022-03-16	20
2022-01-01	USA	Omicron 21K	2022-03-17	14
2022-01-01	USA	Omicron 21K	2022-03-18	15
2022-01-01	USA	Omicron 21K	2022-03-20	10
2022-01-01	USA	Omicron 21K	2022-03-21	8
2022-01-01	USA	Omicron 21K	2022-03-22	10
2022-01-01	USA	Omicron 21K	2022-03-23	15
2022-01-01	USA	Omicron 21K	2022-03-24	47
2022-01-01	USA	Omicron 21K	2022-03-25	60
2022-01-01	USA	Omicron 21K	2022-03-26	12
2022-01-01	USA	Omicron 21K	2022-03-28	1
2022-01-01	USA	Omicron 21K	2022-03-29	4
2022-01-01	USA	Omicron 21K	2022-03-30	17
2022-01-01	USA	Omicron 21K	2022-04-01	69
2022-01-01	USA	Omicron 21K	2022-04-02	1
2022-01-01	USA	Omicron 21K	2022-04-04	8
2022-01-01	USA	Omicron 21K	2022-04-05	16
2022-01-01	USA	Omicron 21K	2022-04-06	65
2022-01-01	USA	Omicron 21K	2022-04-08	7
2022-01-01	USA	Omicron 21K	2022-04-10	3
2022-01-01	USA	Omicron 21K	2022-04-11	33
2022-01-01	USA	Omicron 21K	2022-04-13	50
2022-01-01	USA	Omicron 21K	2022-04-14	2
2022-01-01	USA	Omicron 21K	2022-04-15	7
2022-01-01	USA	Omicron 21K	2022-04-16	8
2022-01-01	USA	Omicron 21K	2022-04-18	5
2022-01-01	USA	Omicron 21K	2022-04-19	10
2022-01-01	USA	Omicron 21K	2022-04-21	2
2022-01-01	USA	Omicron 21K	2022-04-23	1
2022-01-01	USA	Omicron 21K	2022-04-25	4
2022-01-01	USA	Omicron 21K	2022-04-26	1
2022-01-01	USA	Omicron 21K	2022-04-27	73
2022-01-01	USA	Omicron 21K	2022-04-28	1
2022-01-01	USA	Omicron 21K	2022-05-02	1
2022-01-01	USA	Omicron 21K	2022-05-07	11
2022-01-01	USA	Omicron 21K	2022-05-08	48
2022-01-01	USA	Omicron 21K	2022-05-09	2
2022-01-01	USA	Omicron 21K	2022-05-10	2
2022-01-01	USA	Omicron 21K	2022-05-11	4
2022-01-01	USA	Omicron 21K	2022-05-12	28
2022-01-01	USA	Omicron 21K	2022-05-13	2
2022-01-01	USA	Omicron 21K	2022-05-16	33
2022-01-01	USA	Omicron 21K	2022-05-19	85
2022-01-01	USA	Omicron 21K	2022-05-20	2
2022-01-01	USA	Omicron 21K	2022-05-21	3
2022-01-01	USA	Omicron 21K	2022-05-23	1
2022-01-01	USA	Omicron 21K	2022-05-24	2
2022-01-01	USA	Omicron 21K	2022-05-27	20
2022-01-01	USA	Omicron 21K	2022-06-01	5
2022-01-01	USA	Omicron 21K	2022-06-07	6
2022-01-01	USA	Omicron 21K	2022-06-10	2
2022-01-01	USA	Omicron 21K	2022-06-13	4
2022-01-01	USA	Omicron 21K	2022-06-21	12
2022-01-01	USA	Omicron 21K	2022-06-23	1
2022-01-01	USA	Omicron 21K	2022-06-30	1
2022-01-01	USA	Omicron 21K	2022-07-05	1
2022-01-01	USA	Omicron 21K	2022-07-08	7
2022-01-01	USA	Omicron 21K	2022-07-15	1
2022-01-01	USA	Omicron 21K	2022-07-16	1
2022-01-01	USA	Omicron 21K	2022-07-19	7
2022-01-01	USA	Omicron 21K	2022-08-04	1
2022-01-01	USA	Omicron 21K	2022-08-16	1
2022-01-01	USA	Omicron 21K	2022-08-17	4
2022-01-01	USA	Omicron 21K	2022-09-07	1
2022-01-01	USA	Omicron 21K	2022-09-14	2
2022-01-01	USA	Omicron 21L	2022-01-09	1
2022-01-01	USA	Omicron 21L	2022-01-21	2
2022-01-01	USA	Omicron 22B	2022-09-01	1
2022-01-01	USA	Omicron 22B	2022-09-07	1
2022-01-01	USA	other	2022-01-09	1
2022-01-01	USA	other	2022-01-13	1
2022-01-01	USA	other	2022-01-21	5
2022-01-01	USA	other	2022-03-01	1
2022-01-01	USA	other	2022-03-20	1
2022-01-01	USA	other	2022-03-24	1
2022-01-01	USA	other	2022-04-13	1
2022-01-01	USA	other	2022-05-08	1
2022-01-01	United Kingdom	Delta	2022-01-08	32
2022-01-01	United Kingdom	Delta	2022-01-09	22
2022-01-01	United Kingdom	Delta	2022-01-10	7
2022-01-01	United Kingdom	Delta	2022-01-11	8
2022-01-01	United Kingdom	Delta	2022-01-12	11
2022-01-01	United Kingdom	Delta	2022-01-13	2
2022-01-01	United Kingdom	Delta	2022-01-14	3
2022-01-01	United Kingdom	Delta	2022-01-18	1
2022-01-01	United Kingdom	Delta	2022-01-19	3
2022-01-01	United Kingdom	Delta	2022-01-20	1
2022-01-01	United Kingdom	Delta	2022-01-21	7
2022-01-01	United Kingdom	Delta	2022-01-22	7
2022-01-01	United Kingdom	Delta	2022-01-23	19
2022-01-01	United Kingdom	Delta	2022-01-24	4
2022-01-01	United Kingdom	Delta	2022-01-27	9
2022-01-01	United Kingdom	Delta	2022-01-28	9
2022-01-01	United Kingdom	Delta	2022-01-29	7
2022-01-01	United Kingdom	Delta	2022-01-31	1
2022-01-01	United Kingdom	Delta	2022-02-03	1
2022-01-01	United Kingdom	Delta	2022-02-04	4
2022-01-01	United Kingdom	Delta	2022-02-05	4
2022-01-01	United Kingdom	Delta	2022-02-10	1
2022-01-01	United Kingdom	Delta	2022-02-11	2
2022-01-01	United Kingdom	Delta	2022-02-13	5
2022-01-01	United Kingdom	Delta	2022-02-14	1
2022-01-01	United Kingdom	Delta	2022-02-17	1
2022-01-01	United Kingdom	Delta	2022-02-21	2
2022-01-01	United Kingdom	Delta	2022-02-22	1
2022-01-01	United Kingdom	Delta	2022-02-24	1
2022-01-01	United Kingdom	Delta	2022-02-25	6
2022-01-01	United Kingdom	Delta	2022-02-28	13
2022-01-01	United Kingdom	Delta	2022-03-01	1
2022-01-01	United Kingdom	Delta	2022-03-03	1
2022-01-01	United Kingdom	Delta	2022-04-01	1
2022-01-01	United Kingdom	Delta	2022-04-11	5
2022-01-01	United Kingdom	Omicron 21K	2022-01-07	7
2022-01-01	United Kingdom	Omicron 21K	2022-01-08	1134
2022-01-01	United Kingdom	Omicron 21K	2022-01-09	929
2022-01-01	United Kingdom	Omicron 21K	2022-01-10	608
2022-01-01	United Kingdom	Omicron 21K	2022-01-11	213
2022-01-01	United Kingdom	Omicron 21K	2022-01-12	357
2022-01-01	United Kingdom	Omicron 21K	2022-01-13	68
2022-01-01	United Kingdom	Omicron 21K	2022-01-14	52
2022-01-01	United Kingdom	Omicron 21K	2022-01-15	51
2022-01-01	United Kingdom	Omicron 21K	2022-01-16	13
2022-01-01	United Kingdom	Omicron 21K	2022-01-17	11
2022-01-01	United Kingdom	Omicron 21K	2022-01-18	5
2022-01-01	United Kingdom	Omicron 21K	2022-01-19	74
2022-01-01	United Kingdom	Omicron 21K	2022-01-20	115
2022-01-01	United Kingdom	Omicron 21K	2022-01-21	113
2022-01-01	United Kingdom	Omicron 21K	2022-01-22	238
2022-01-01	United Kingdom	Omicron 21K	2022-01-23	487
2022-01-01	United Kingdom	Omicron 21K	2022-01-24	105
2022-01-01	United Kingdom	Omicron 21K	2022-01-25	13
2022-01-01	United Kingdom	Omicron 21K	2022-01-26	21
2022-01-01	United Kingdom	Omicron 21K	2022-01-27	172
2022-01-01	United Kingdom	Omicron 21K	2022-01-28	84
2022-01-01	United Kingdom	Omicron 21K	2022-01-29	114
2022-01-01	United Kingdom	Omicron 21K	2022-01-30	46
2022-01-01	United Kingdom	Omicron 21K	2022-01-31	15
2022-01-01	United Kingdom	Omicron 21K	2022-02-01	3
2022-01-01	United Kingdom	Omicron 21K	2022-02-02	16
2022-01-01	United Kingdom	Omicron 21K	2022-02-03	54
2022-01-01	United Kingdom	Omicron 21K	2022-02-04	63
2022-01-01	United Kingdom	Omicron 21K	2022-02-05	37
2022-01-01	United Kingdom	Omicron 21K	2022-02-06	3
2022-01-01	United Kingdom	Omicron 21K	2022-02-07	2
2022-01-01	United Kingdom	Omicron 21K	2022-02-08	3
2022-01-01	United Kingdom	Omicron 21K	2022-02-09	1
2022-01-01	United Kingdom	Omicron 21K	2022-02-10	10
2022-01-01	United Kingdom	Omicron 21K	2022-02-11	15
2022-01-01	United Kingdom	Omicron 21K	2022-02-12	13
2022-01-01	United Kingdom	Omicron 21K	2022-02-13	79
2022-01-01	United Kingdom	Omicron 21K	2022-02-14	10
2022-01-01	United Kingdom	Omicron 21K	2022-02-17	7
2022-01-01	United Kingdom	Omicron 21K	2022-02-18	17
2022-01-01	United Kingdom	Omicron 21K	2022-02-21	24
2022-01-01	United Kingdom	Omicron 21K	2022-02-22	21
2022-01-01	United Kingdom	Omicron 21K	2022-02-23	6
2022-01-01	United Kingdom	Omicron 21K	2022-02-24	12
2022-01-01	United Kingdom	Omicron 21K	2022-02-25	149
2022-01-01	United Kingdom	Omicron 21K	2022-02-28	242
2022-01-01	United Kingdom	Omicron 21K	2022-03-01	6
2022-01-01	United Kingdom	Omicron 21K	2022-03-02	6
2022-01-01	United Kingdom	Omicron 21K	2022-03-03	7
2022-01-01	United Kingdom	Omicron 21K	2022-03-04	2
2022-01-01	United Kingdom	Omicron 21K	2022-03-14	1
2022-01-01	United Kingdom	Omicron 21K	2022-03-18	3
2022-01-01	United Kingdom	Omicron 21K	2022-04-01	6
2022-01-01	United Kingdom	Omicron 21K	2022-04-06	9
2022-01-01	United Kingdom	Omicron 21K	2022-04-11	222
2022-01-01	United Kingdom	Omicron 21K	2022-07-27	2
2022-01-01	United Kingdom	Omicron 21L	2022-01-09	1
2022-01-01	United Kingdom	Omicron 21L	2022-01-10	2
2022-01-01	United Kingdom	Omicron 21L	2022-01-12	1
2022-01-01	United Kingdom	Omicron 21L	2022-01-23	2
2022-01-01	United Kingdom	Omicron 21L	2022-02-21	1
2022-01-01	United Kingdom	Omicron 21L	2022-02-25	6
2022-01-01	United Kingdom	Omicron 21L	2022-02-28	2
2022-01-01	United Kingdom	Omicron 21L	2022-03-01	2
2022-01-01	United Kingdom	other	2022-01-09	1
2022-01-01	United Kingdom	other	2022-01-14	1
2022-01-01	United Kingdom	other	2022-02-05	1
2022-01-01	United Kingdom	other	2022-02-22	1
2022-01-02	Australia	Delta	2022-01-06	1
2022-01-02	Australia	Delta	2022-01-07	1
2022-01-02	Australia	Delta	2022-01-12	1
2022-01-02	Australia	Delta	2022-01-13	2
2022-01-02	Australia	Delta	2022-01-17	1
2022-01-02	Australia	Delta	2022-01-20	4
2022-01-02	Australia	Delta	2022-01-22	15
2022-01-02	Australia	Delta	2022-01-30	1
2022-01-02	Australia	Delta	2022-02-08	2
2022-01-02	Australia	Delta	2022-02-10	4
2022-01-02	Australia	Delta	2022-04-01	1
2022-01-02	Australia	Omicron 21K	2022-01-06	7
2022-01-02	Australia	Omicron 21K	2022-01-11	12
2022-01-02	Australia	Omicron 21K	2022-01-12	7
2022-01-02	Australia	Omicron 21K	2022-01-13	18
2022-01-02	Australia	Omicron 21K	2022-01-14	2
2022-01-02	Australia	Omicron 21K	2022-01-17	48
2022-01-02	Australia	Omicron 21K	2022-01-20	27
2022-01-02	Australia	Omicron 21K	2022-01-22	120
2022-01-02	Australia	Omicron 21K	2022-01-30	23
2022-01-02	Australia	Omicron 21K	2022-02-01	4
2022-01-02	Australia	Omicron 21K	2022-02-04	1
2022-01-02	Australia	Omicron 21K	2022-02-08	17
2022-01-02	Australia	Omicron 21K	2022-02-10	10
2022-01-02	Australia	Omicron 21K	2022-02-17	1
2022-01-02	Australia	Omicron 21K	2022-02-21	2
2022-01-02	Australia	Omicron 21K	2022-02-23	38
2022-01-02	Australia	Omicron 21K	2022-02-24	1
2022-01-02	Australia	Omicron 21K	2022-02-28	1
2022-01-02	Australia	Omicron 21K	2022-03-02	7
2022-01-02	Australia	Omicron 21K	2022-04-01	1
2022-01-02	Australia	Omicron 21K	2022-04-04	10
2022-01-02	Australia	Omicron 21K	2022-04-22	5
2022-01-02	Australia	Omicron 21L	2022-04-02	1
2022-01-02	Australia	other	2022-04-01	1
2022-01-02	Brazil	Delta	2022-01-14	2
2022-01-02	Brazil	Delta	2022-01-27	2
2022-01-02	Brazil	Delta	2022-01-28	1
2022-01-02	Brazil	Delta	2022-01-29	1
2022-01-02	Brazil	Delta	2022-01-31	3
2022-01-02	Brazil	Delta	2022-03-23	1
2022-01-02	Brazil	Delta	2022-05-23	2
2022-01-02	Brazil	Delta	2022-06-15	1
2022-01-02	Brazil	Delta	2022-07-08	2
2022-01-02	Brazil	Delta	2022-08-26	1
2022-01-02	Brazil	Omicron 21K	2022-01-12	11
2022-01-02	Brazil	Omicron 21K	2022-01-14	20
2022-01-02	Brazil	Omicron 21K	2022-01-18	3
2022-01-02	Brazil	Omicron 21K	2022-01-27	10
2022-01-02	Brazil	Omicron 21K	2022-01-28	6
2022-01-02	Brazil	Omicron 21K	2022-01-29	13
2022-01-02	Brazil	Omicron 21K	2022-01-31	127
2022-01-02	Brazil	Omicron 21K	2022-02-11	2
2022-01-02	Brazil	Omicron 21K	2022-02-15	2
2022-01-02	Brazil	Omicron 21K	2022-03-09	3
2022-01-02	Brazil	Omicron 21K	2022-03-14	1
2022-01-02	Brazil	Omicron 21K	2022-03-15	5
2022-01-02	Brazil	Omicron 21K	2022-03-17	10
2022-01-02	Brazil	Omicron 21K	2022-03-22	1
2022-01-02	Brazil	Omicron 21K	2022-05-03	3
2022-01-02	Brazil	Omicron 21K	2022-05-21	7
2022-01-02	Brazil	Omicron 21K	2022-05-22	1
2022-01-02	Brazil	Omicron 21K	2022-05-23	1
2022-01-02	Brazil	Omicron 21K	2022-07-01	1
2022-01-02	Brazil	Omicron 21K	2022-07-08	1
2022-01-02	Brazil	Omicron 21K	2022-07-14	1
2022-01-02	Brazil	Omicron 21K	2022-07-18	9
2022-01-02	Brazil	Omicron 21K	2022-08-04	1
2022-01-02	Brazil	Omicron 21K	2022-08-26	2
2022-01-02	Japan	Delta	2022-01-19	1
2022-01-02	Japan	Delta	2022-01-21	2
2022-01-02	Japan	Delta	2022-01-28	42
2022-01-02	Japan	Delta	2022-03-04	10
2022-01-02	Japan	Delta	2022-04-04	1
2022-01-02	Japan	Omicron 21K	2022-01-11	5
2022-01-02	Japan	Omicron 21K	2022-01-17	14
2022-01-02	Japan	Omicron 21K	2022-01-19	23
2022-01-02	Japan	Omicron 21K	2022-01-21	65
2022-01-02	Japan	Omicron 21K	2022-01-28	189
2022-01-02	Japan	Omicron 21K	2022-03-04	26
2022-01-02	Japan	Omicron 21K	2022-04-04	3
2022-01-02	Japan	Omicron 21K	2022-04-28	2
2022-01-02	Japan	Omicron 21L	2022-01-11	1
2022-01-02	Japan	Omicron 21L	2022-01-21	2
2022-01-02	Japan	Omicron 21L	2022-02-07	3
2022-01-02	South Africa	Omicron 21K	2022-01-13	4
2022-01-02	South Africa	Omicron 21K	2022-01-22	3
2022-01-02	South Africa	Omicron 21K	2022-01-28	6
2022-01-02	South Africa	Omicron 21K	2022-02-02	9
2022-01-02	South Africa	Omicron 21K	2022-02-09	4
2022-01-02	South Africa	Omicron 21K	2022-02-16	1
2022-01-02	South Africa	Omicron 21K	2022-02-22	15
2022-01-02	South Africa	Omicron 21K	2022-03-03	1
2022-01-02	South Africa	Omicron 21K	2022-04-25	1
2022-01-02	South Africa	Omicron 21L	2022-01-13	3
2022-01-02	South Africa	Omicron 21L	2022-01-28	2
2022-01-02	South Africa	Omicron 21L	2022-02-02	4
2022-01-02	South Africa	Omicron 21L	2022-02-22	8
2022-01-02	South Africa	Omicron 21L	2022-03-09	3
2022-01-02	South Africa	Omicron 21L	2022-03-30	1
2022-01-02	South Africa	other	2022-02-22	1
2022-01-02	USA	Delta	2022-01-06	2
2022-01-02	USA	Delta	2022-01-07	27
2022-01-02	USA	Delta	2022-01-08	7
2022-01-02	USA	Delta	2022-01-09	43
2022-01-02	USA	Delta	2022-01-10	11
2022-01-02	USA	Delta	2022-01-11	11
2022-01-02	USA	Delta	2022-01-12	36
2022-01-02	USA	Delta	2022-01-13	17
2022-01-02	USA	Delta	2022-01-14	20
2022-01-02	USA	Delta	2022-01-15	5
2022-01-02	USA	Delta	2022-01-16	1
2022-01-02	USA	Delta	2022-01-18	10
2022-01-02	USA	Delta	2022-01-19	20
2022-01-02	USA	Delta	2022-01-20	13
2022-01-02	USA	Delta	2022-01-21	33
