	country	mean_seq_per_week	sem_seq_per_week
17	Belgium	1596.0754716981132	148.7362386435047
163	Sweden	1648.9056603773586	138.16274049912496
159	Spain	1783.8867924528302	99.64888890389284
75	India	1795.7358490566037	299.18898012455367
26	Brazil	1827.2830188679245	229.79583349665572
80	Israel	2040.6037735849056	182.01329386452144
9	Australia	2282.245283018868	87.14063631610955
33	Canada	4094.6603773584907	154.10130388880387
58	France	6056.603773584906	419.66894162632997
46	Denmark	6263.905660377359	598.410595762286
83	Japan	6612.603773584906	438.73998182784527
62	Germany	9824.66037735849	802.376639345115
178	United Kingdom	22093.622641509435	3692.3766659917746
173	USA	37936.77358490566	3365.367464483269
