date	location	cases
2022-05-31	Japan	19982.0
2022-06-01	Japan	22513.0
2022-06-02	Japan	20961.0
2022-06-03	Japan	19271.0
2022-06-04	Japan	0.0
2022-06-05	Japan	32757.0
2022-06-06	Japan	11351.0
2022-06-07	Japan	15519.0
2022-06-08	Japan	18275.0
2022-06-09	Japan	17201.0
2022-06-10	Japan	15790.0
2022-06-11	Japan	14684.0
2022-06-12	Japan	13128.0
2022-06-13	Japan	10204.0
2022-06-14	Japan	14030.0
2022-06-15	Japan	16555.0
2022-03-04	South Africa	1853.0
2022-03-05	South Africa	1898.0
2022-03-06	South Africa	1735.0
2022-03-07	South Africa	1147.0
2022-03-08	South Africa	801.0
2022-03-09	South Africa	1436.0
2022-03-10	South Africa	1867.0
2022-03-11	South Africa	1868.0
2022-03-12	South Africa	1671.0
2022-03-13	South Africa	1570.0
2022-03-14	South Africa	972.0
2022-03-15	South Africa	671.0
2022-03-16	South Africa	1648.0
2022-03-17	South Africa	1980.0
2022-03-18	South Africa	1681.0
2022-03-19	South Africa	1558.0
2022-03-20	South Africa	1287.0
2022-03-21	South Africa	889.0
2022-03-22	South Africa	566.0
2022-03-23	South Africa	912.0
2022-03-24	South Africa	1393.0
2022-03-25	South Africa	2120.0
2022-03-26	South Africa	1557.0
2022-03-27	South Africa	1497.0
2022-03-28	South Africa	989.0
2022-03-29	South Africa	581.0
2022-03-30	South Africa	1557.0
2022-03-31	South Africa	1677.0
2022-04-01	South Africa	1886.0
2022-04-02	South Africa	1692.0
2022-04-03	South Africa	1420.0
2022-04-04	South Africa	889.0
2022-04-05	South Africa	685.0
2022-04-06	South Africa	1538.0
2022-04-07	South Africa	2031.0
2022-04-08	South Africa	1481.0
2022-04-09	South Africa	1377.0
2022-04-10	South Africa	1181.0
2022-04-11	South Africa	828.0
2022-04-12	South Africa	553.0
2022-04-13	South Africa	1291.0
2022-04-14	South Africa	1659.0
2022-04-15	South Africa	1768.0
2022-04-16	South Africa	1846.0
2022-04-17	South Africa	1206.0
2022-04-18	South Africa	832.0
2022-04-19	South Africa	877.0
2022-04-20	South Africa	1475.0
2022-04-21	South Africa	2842.0
2022-04-22	South Africa	4406.0
2022-04-23	South Africa	4629.0
2022-04-24	South Africa	4230.0
2022-04-25	South Africa	3222.0
2022-04-26	South Africa	1954.0
2022-04-27	South Africa	5062.0
2022-04-28	South Africa	6371.0
2022-04-29	South Africa	0.0
2022-04-30	South Africa	9100.0
2022-05-01	South Africa	6527.0
2022-05-02	South Africa	3838.0
2022-05-03	South Africa	2650.0
2022-05-04	South Africa	3785.0
2022-05-05	South Africa	15927.0
2022-05-06	South Africa	0.0
2022-05-07	South Africa	9253.0
2022-05-08	South Africa	8524.0
2022-05-09	South Africa	5486.0
2022-05-10	South Africa	3237.0
2022-05-11	South Africa	7523.0
2022-05-12	South Africa	10017.0
2022-05-13	South Africa	8920.0
2022-05-14	South Africa	8349.0
2022-05-15	South Africa	8015.0
2022-05-16	South Africa	4344.0
2022-05-17	South Africa	2952.0
2022-05-18	South Africa	5096.0
2022-05-19	South Africa	8179.0
2022-05-20	South Africa	7238.0
2022-05-21	South Africa	6375.0
2022-05-22	South Africa	5019.0
2022-05-23	South Africa	3220.0
2022-05-24	South Africa	1662.0
2022-05-25	South Africa	4227.0
2022-05-26	South Africa	5284.0
2022-05-27	South Africa	3800.0
2022-05-28	South Africa	3274.0
2022-05-29	South Africa	4074.0
2022-05-30	South Africa	1774.0
2022-05-31	South Africa	1004.0
2022-06-01	South Africa	2806.0
2022-06-02	South Africa	2647.0
2022-06-03	South Africa	2970.0
2022-06-04	South Africa	2028.0
2022-06-05	South Africa	1656.0
2022-06-06	South Africa	1127.0
2022-06-07	South Africa	726.0
2022-06-08	South Africa	2062.0
2022-06-09	South Africa	2093.0
2022-06-10	South Africa	1976.0
2022-06-11	South Africa	1591.0
2022-06-12	South Africa	975.0
2022-06-13	South Africa	962.0
2022-06-14	South Africa	536.0
2022-06-15	South Africa	710.0
2022-03-04	United Kingdom	46179.0
2022-03-05	United Kingdom	43761.0
2022-03-06	United Kingdom	41408.0
2022-03-07	United Kingdom	38758.0
2022-03-08	United Kingdom	49026.0
2022-03-09	United Kingdom	68521.0
2022-03-10	United Kingdom	70112.0
2022-03-11	United Kingdom	73532.0
2022-03-12	United Kingdom	70513.0
2022-03-13	United Kingdom	67032.0
2022-03-14	United Kingdom	62080.0
2022-03-15	United Kingdom	75739.0
2022-03-16	United Kingdom	99835.0
2022-03-17	United Kingdom	93710.0
2022-03-18	United Kingdom	91754.0
2022-03-19	United Kingdom	82853.0
2022-03-20	United Kingdom	75287.0
2022-03-21	United Kingdom	67418.0
2022-03-22	United Kingdom	81052.0
2022-03-23	United Kingdom	109288.0
2022-03-24	United Kingdom	99095.0
2022-03-25	United Kingdom	94183.0
2022-03-26	United Kingdom	82901.0
2022-03-27	United Kingdom	72433.0
2022-03-28	United Kingdom	61458.0
2022-03-29	United Kingdom	68337.0
2022-03-30	United Kingdom	92860.0
2022-03-31	United Kingdom	80125.0
2022-04-01	United Kingdom	73643.0
2022-04-02	United Kingdom	54793.0
2022-04-03	United Kingdom	47463.0
2022-04-04	United Kingdom	37593.0
2022-04-05	United Kingdom	42178.0
2022-04-06	United Kingdom	53728.0
2022-04-07	United Kingdom	49100.0
2022-04-08	United Kingdom	44749.0
2022-04-09	United Kingdom	38708.0
2022-04-10	United Kingdom	32989.0
2022-04-11	United Kingdom	27885.0
2022-04-12	United Kingdom	30951.0
2022-04-13	United Kingdom	37371.0
2022-04-14	United Kingdom	33772.0
2022-04-15	United Kingdom	31683.0
2022-04-16	United Kingdom	26640.0
2022-04-17	United Kingdom	21614.0
2022-04-18	United Kingdom	19923.0
2022-04-19	United Kingdom	20144.0
2022-04-20	United Kingdom	25224.0
2022-04-21	United Kingdom	25772.0
2022-04-22	United Kingdom	21454.0
2022-04-23	United Kingdom	18464.0
2022-04-24	United Kingdom	15705.0
2022-04-25	United Kingdom	13208.0
2022-04-26	United Kingdom	14713.0
2022-04-27	United Kingdom	17106.0
2022-04-28	United Kingdom	14561.0
2022-04-29	United Kingdom	13055.0
